# See the documentation on the wiki to learn how to edit this file.
#-------------------------------
[0]
Name = Hessia
Filename = mapRegion0.png
Point = 2,16,Stuot Pier
Point = 3,15,Stuot
Point = 3,16,Stuot
Point = 7,14,Route 1
Point = 8,14,Route 1
Point = 10,14,Ostern,Normal Gym
Point = 2,12,Andernach Island
Point = 7,17,Lumoria,Fairy Gym
Point = 9,12,Blumen,Grass Gym
Point = 11,10,Boden,Ground Gym
Point = 11,11,Boden,Ground Gym
Point = 12,11,Boden,Ground Gym
Point = 12,10,Boden,Ground Gym
Point = 13,4,Rhurmund,Fighting Gym
Point = 11,6,Dusvolt,Electric Gym
Point = 12,6,Dusvolt,Electric Gym
Point = 12,1,Dumen,Dark Gym
Point = 16,4,Cassalia,Flying Gym
Point = 10,8,Gessen,Poison Gym
Point = 20,13,Volkyrm,Dragon Gym
Point = 18,11,Eisen,Fire/Steel Gyms
Point = 19,11,Eisen,Fire/Steel Gyms
Point = 20,15,Turdeis
Point = 22,16,Isarmun,Ice Gym
Point = 23,16,Isarmun,Ice Gym
Point = 13,13,Unitas,Psychic Gym
Point = 8,6,Keister,Ghost Gym
Point = 16,2,Elbast,Water Gym
Point = 17,2,Elbast,Water Gym
Point = 19,5,Dresolith,Rock Gym
Point = 20,5,Dresolith,Rock Gym
Point = 24,4,Margrave,League
Point = 24,3,Margrave,League
Point = 25,3,Margrave,League
Point = 25,4,Margrave,League
Point = 10,15,Dark Forest,
Point = 9,15,Dark Forest,
Point = 8,15,Dark Forest,
Point = 7,15,Dark Forest,
Point = 7,16,Dark Forest,
Point = 8,16,Dark Forest,
Point = 9,16,Dark Forest,
Point = 10,16,Dark Forest,
Point = 11,17,Dark Forest,
Point = 11,18,Dark Forest,
Point = 11,19,Dark Forest,
Point = 10,19,Dark Forest,
Point = 9,19,Dark Forest,
Point = 9,18,Dark Forest,
Point = 10,18,Dark Forest,
Point = 10,17,Dark Forest,
Point = 9,17,Dark Forest,
Point = 8,17,Dark Forest,
Point = 11,16,Dark Forest,
